Date,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus
11/18/2021,Lawrence County,AR,42.3,6938,49.4,51.2,72.5,90.3,49.7,8127
11/18/2021,Escambia County,AL,33.1,12112,38.8,41.1,68.2,92.6,42.5,15543
11/18/2021,Tama County,IA,58,9777,68.8,71.3,91.1,97.4,61.9,10400
11/18/2021,Mariposa County,CA,0,0,0,0,0,0,0,0
11/18/2021,Jackson County,IA,49.2,9568,57.4,60.9,84.3,97.4,52,10026
11/18/2021,Barren County,KY,41.5,18351,49.1,51.3,73.7,93.9,46.6,20457
11/18/2021,Lake of the Woods County,MN,51.8,1939,58.8,61.1,85.2,94.4,54.7,2033
11/18/2021,Lajas Municipio,PR,70.7,15565,79.3,79.7,93.6,95.8,77.6,16925
11/18/2021,Alamance County,NC,52.5,89037,61.3,63.1,83.5,97.2,65.4,109689
11/18/2021,Nome Census Area,AK,61.9,6189,81.4,82.2,90,96.7,67.2,6477
11/18/2021,Lincoln County,MO,35.8,21146,43.1,45.6,73.6,91.2,40.4,23692
11/18/2021,Rusk County,TX,34.4,18728,40.2,42.2,62.9,99.1,39.3,21372
11/18/2021,Rains County,TX,33.6,4203,38.8,40.9,58.1,99.1,37.9,4737
11/18/2021,Isabella County,MI,41.4,28896,46.7,47.4,81.7,97.7,43.9,30691
11/18/2021,Plymouth County,MA,62.4,325292,71.8,73.1,84,89.6,72.3,371666
11/18/2021,Jefferson Davis County,MS,40.4,4492,46.7,47.6,57.7,98.3,45.2,5015
11/18/2021,Guilford County,NC,55,295312,64.2,65.7,85.1,97.2,71.6,380159
11/18/2021,Charlton County,GA,12.9,1729,14.7,14.9,24.6,58.3,14.6,1951
11/18/2021,Franklin County,VA,40.9,22931,46.4,48.2,67.2,82.2,46.2,25813
11/18/2021,McIntosh County,GA,36.2,5198,40.1,41.3,52.3,58.3,39.9,5732
